,precision,recall,f1-score
0,0.8924418604651163,0.9029411764705882,0.8976608187134503
1,0.9017857142857143,0.8911764705882353,0.8964497041420119
accuracy,0.8970588235294118,0.8970588235294118,0.8970588235294118
macro avg,0.8971137873754154,0.8970588235294118,0.8970552614277311
weighted avg,0.8971137873754154,0.8970588235294118,0.8970552614277311
