,precision,recall,f1-score
0,0.8510028653295129,0.8735294117647059,0.8621190130624092
1,0.8700906344410876,0.8470588235294118,0.8584202682563339
accuracy,0.8602941176470589,0.8602941176470589,0.8602941176470589
macro avg,0.8605467498853002,0.8602941176470589,0.8602696406593715
weighted avg,0.8605467498853001,0.8602941176470589,0.8602696406593716
