,precision,recall,f1-score
0,0.8176638176638177,0.8441176470588235,0.8306801736613604
1,0.8389057750759878,0.8117647058823529,0.8251121076233184
accuracy,0.8279411764705882,0.8279411764705882,0.8279411764705882
macro avg,0.8282847963699027,0.8279411764705882,0.8278961406423394
weighted avg,0.8282847963699028,0.8279411764705882,0.8278961406423394
