,precision,recall,f1-score
0,0.0,0.0,0.0
1,0.8009259259259259,1.0,0.8894601542416453
accuracy,0.8009259259259259,0.8009259259259259,0.8009259259259259
macro avg,0.40046296296296297,0.5,0.44473007712082263
weighted avg,0.6414823388203018,0.8009259259259259,0.7123916976102066
