,precision,recall,f1-score
0,0.3584905660377358,0.22093023255813954,0.2733812949640288
1,0.8232189973614775,0.9017341040462428,0.8606896551724138
accuracy,0.7662037037037037,0.7662037037037037,0.7662037037037037
macro avg,0.5908547816996067,0.5613321683021911,0.5670354750682213
weighted avg,0.7307036151998068,0.7662037037037037,0.7437717871679668
