,precision,recall,f1-score
0,0.46774193548387094,0.3372093023255814,0.3918918918918919
1,0.845945945945946,0.9046242774566474,0.8743016759776536
accuracy,0.7916666666666666,0.7916666666666666,0.7916666666666666
macro avg,0.6568439407149085,0.6209167898911144,0.6330967839347728
weighted avg,0.7706553327521071,0.7916666666666666,0.7782663948865066
